Rank,Player Name,Team,Games Played,Minutes per Game,Points per Game,Rebounds per Game,Assists per Game,Steals per Game,Blocks per Game,Turnovers per Game
1,Giannis Antetokounmpo,MIL,17,35.2,32.9,6.4,10.5,61.2,2.1,9.8
2,LaMelo Ball,CHA,18,34.1,31.1,4.9,5.8,84.8,0.9,4.4
3,Shai Gilgeous-Alexander,OKC,19,34.5,29.8,6.9,8.1,85.7,0.9,4.4
4,Nikola Jokić,DEN,14,37.4,29.7,5.4,6.4,83.3,4.2,8.9
5,Jayson Tatum,BOS,19,36.3,28.7,6.5,8.2,79.5,0.5,8.1
6,Anthony Davis,LAL,18,35.3,28.4,7.4,9.6,77.9,2.7,8.9
7,Luka Dončić,DAL,14,36.6,28.1,5.1,6.6,78.3,0.6,7.1
8,De'Aaron Fox,SAC,20,37.8,27.7,5.5,6.9,80.3,0.9,4.1
9,Anthony Edwards,MIN,19,37.5,27.7,3.8,4.8,80.2,0.7,4.7
10,Damian Lillard,MIL,16,36.2,25.9,6.8,7.3,92.3,0.6,3.9
11,Jalen Brunson,NYK,19,34.9,25.9,5.5,6.5,83.9,0.4,2.6
12,Karl-Anthony Towns,NYK,18,33.8,25.8,4.7,5.6,85.0,2.9,9.7
13,Kyrie Irving,DAL,19,35.4,24.8,3.1,3.5,87.9,1.2,3.7
14,Devin Booker,PHX,19,36.8,24.7,6.1,6.8,89.2,1.2,2.3
15,Jaylen Brown,BOS,15,36.5,24.7,5.2,6.8,76.5,1.4,4.9
16,Cam Thomas,BKN,17,33.4,24.7,5.7,6.6,86.6,0.4,2.9
17,Donovan Mitchell,CLE,19,31.7,24.1,3.2,3.9,82.4,0.6,4.2
18,Tyler Herro,MIA,17,35.1,23.6,3.2,3.7,85.7,0.3,5.0
19,Franz Wagner,ORL,21,32.3,23.6,3.9,4.5,85.3,1.0,4.6
20,Cade Cunningham,DET,18,36.2,23.5,3.5,4.3,80.8,1.1,6.1
21,Victor Wembanyama,SAS,16,32.1,23.4,2.9,3.3,86.8,2.1,7.9
22,Norman Powell,LAC,15,33.4,23.3,3.3,4.0,81.7,0.3,2.8
23,RJ Barrett,TOR,17,34.3,22.9,4.3,6.3,68.2,1.0,5.3
24,Brandon Ingram,NOP,16,33.7,22.9,2.4,2.9,83.0,1.0,4.8
25,DeMar DeRozan,SAC,15,36.3,22.6,4.9,5.9,82.0,0.5,3.6
26,Stephen Curry,GSW,15,29.9,22.5,3.3,3.5,94.3,0.5,5.0
27,LeBron James,LAL,19,35.1,22.3,3.5,4.6,75.0,0.8,7.4
28,Jaren Jackson Jr.,MEM,18,28.3,22.2,4.5,5.6,81.0,1.6,4.2
29,Zach LaVine,CHI,18,33.8,22.0,2.8,3.4,82.3,0.2,4.3
30,James Harden,LAC,21,34.2,21.5,6.3,7.1,88.6,0.6,6.5
31,Jalen Williams,OKC,19,31.7,21.5,2.5,3.1,79.7,0.9,5.4
32,Trae Young,ATL,20,35.8,21.4,5.9,6.6,89.3,0.7,3.0
33,Julius Randle,MIN,19,34.3,21.2,5.1,6.3,80.7,1.8,5.1
34,Jordan Poole,WAS,16,30.1,21.0,3.8,4.3,88.4,0.3,2.0
35,Pascal Siakam,IND,20,34.4,21.0,2.8,3.5,80.0,1.8,4.8
36,Nikola Vučević,CHI,21,32.0,20.9,2.0,2.3,83.7,2.0,8.0
37,Darius Garland,CLE,19,30.5,20.7,2.5,2.7,94.1,0.6,1.8
38,Brandon Miller,CHA,16,34.2,20.6,2.3,2.5,92.5,1.1,4.3
39,Domantas Sabonis,SAC,18,36.6,20.4,3.8,4.6,84.1,2.9,10.0
40,Jalen Johnson,ATL,20,36.5,20.1,2.5,3.4,74.6,1.8,8.2
41,Lauri Markkanen,UTA,15,31.9,19.5,4.7,5.5,85.5,1.7,4.8
42,Jalen Green,HOU,20,32.1,19.4,3.6,4.2,86.7,0.6,4.3
43,Jimmy Butler,MIA,13,31.7,19.0,6.5,8.2,78.5,2.4,2.8
44,Alperen Sengun,HOU,20,30.5,18.7,3.9,5.1,76.5,3.5,7.3
45,Dennis Schröder,BKN,18,34.2,18.6,3.3,3.7,88.1,0.2,2.9
46,Michael Porter Jr.,DEN,17,36.0,18.6,1.3,1.9,66.7,1.7,5.5
47,Bennedict Mathurin,IND,20,32.4,18.5,4.7,5.6,83.8,1.3,5.4
48,Jaden Ivey,DET,21,30.9,18.4,3.3,4.6,72.9,1.4,3.0
49,Derrick White,BOS,19,34.3,18.3,1.8,2.1,85.0,1.2,3.5
50,Coby White,CHI,21,32.5,18.3,2.9,3.3,87.1,0.3,3.4
